reference_dossier;age;taux_presence_pct;heures_lms_total;retards_rendus;nb_devoirs_total;nb_devoirs_rendus;messages_forum;nb_ue_total;motivation;satisfaction;sentiment_appartenance;mention_bac;filiere;bac_type
COH2027-0062;22;67,6 %;15,1;5;9;8;6;5;4;3;3;Bien;Gestion;Général
COH2027-0063;19;59,1 %;23,1;7;9;8;2;5;;1;2;Très bien;Psychologie;Général
COH2027-0064;21;53,4 %;12,9;9;10;9;5;6;3;2;2;Assez bien;Informatique;Général
COH2027-0065;19;56,8 %;35,9;6;13;13;4;7;4;3;4;Assez bien;STAPS;Général
COH2027-0066;17;62,5 %;42,5;7;8;7;6;6;1;;2;Passable;Droit;Technologique
COH2027-0067;17;58,8 %;17,5;8;8;8;9;6;;4;3;Bien;Informatique;Général
COH2027-0068;20;40,7 %;16,1;7;13;7;0;6;1;1;3;Passable;Mathématiques;Général
COH2027-0069;18;67,4 %;35,7;8;10;8;0;6;3;1;1;Bien;Informatique;Général
COH2027-0070;21;61,5 %;7,0;7;11;7;0;6;1;2;1;;Informatique;Technologique
COH2027-0071;18;67,1 %;50,1;5;11;11;1;6;3;3;3;Assez bien;Psychologie;Général
COH2027-0072;21;56,9 %;25,7;7;9;7;4;5;2;3;1;Très bien;Gestion;Général
COH2027-0073;18;57,8 %;29,9;4;8;8;12;5;4;2;1;Passable;Informatique;Technologique
COH2027-0074;21;30,8 %;12,6;7;9;8;2;6;3;1;1;Passable;Informatique;Général
COH2027-0075;19;68,9 %;34,4;5;8;8;6;7;3;2;2;Assez bien;Informatique;Général
COH2027-0076;21;62,2 %;3,5;6;9;8;0;6;2;3;1;Très bien;Informatique;Technologique
COH2027-0077;21;63,1 %;27,6;5;11;10;2;6;3;3;1;Passable;Informatique;Général
COH2027-0078;18;47,4 %;27,5;7;11;11;4;6;2;1;3;Assez bien;STAPS;Général
COH2027-0079;19;52,9 %;15,3;7;9;7;1;7;3;1;1;Bien;Psychologie;Technologique
COH2027-0080;20;65,1 %;57,4;5;8;7;8;6;2;4;3;Bien;Droit;Général
COH2027-0081;17;66,9 %;23,1;7;11;10;7;6;4;4;;Passable;Droit;Général
COH2027-0082;22;42,9 %;5,0;5;11;5;0;6;1;1;1;Assez bien;Informatique;Professionnel
COH2027-0083;21;44,9 %;5,2;6;9;6;0;5;2;2;2;Passable;Gestion;Technologique
COH2027-0084;18;72,7 %;24,2;5;12;12;4;5;4;2;2;Assez bien;Informatique;Général
COH2027-0085;19;52,8 %;21,4;6;9;6;3;6;2;2;2;Bien;Informatique;Général
COH2027-0086;17;78,4 %;45,3;4;10;10;7;7;4;;3;Bien;Informatique;Général
COH2027-0087;19;78,3 %;35,4;5;8;7;5;7;4;;1;Passable;Informatique;Général
COH2027-0088;18;74,7 %;32,5;4;8;8;7;5;4;4;2;Passable;Lettres;Technologique
COH2027-0089;17;75,2 %;30,4;6;11;11;7;5;4;3;2;Bien;Informatique;Général
COH2027-0090;19;73,7 %;28,2;7;8;7;5;6;4;4;1;Assez bien;Psychologie;Général
COH2027-0091;17;67,2 %;22,0;7;9;8;2;6;2;2;;Passable;Informatique;Technologique
COH2027-0092;19;48,7 %;23,1;9;11;9;5;6;3;;3;Passable;Informatique;Général
COH2027-0093;20;67,0 %;11,7;8;10;8;3;6;1;4;1;Assez bien;Informatique;Général
COH2027-0094;21;57,4 %;16,2;3;9;8;10;6;4;4;2;Assez bien;Informatique;Général
COH2027-0095;18;61,9 %;12,6;3;13;13;8;5;4;3;1;Passable;Informatique;Général
COH2027-0096;18;69,0 %;15,7;8;13;9;3;6;1;1;2;Passable;Informatique;Général
COH2027-0097;18;45,6 %;13,2;7;12;10;0;6;1;2;2;Passable;Informatique;Général
COH2027-0098;20;76,4 %;15,6;4;12;12;8;6;4;4;3;Assez bien;Gestion;Professionnel
COH2027-0099;21;45,3 %;5,3;5;10;5;0;6;2;2;2;Passable;Psychologie;Général
COH2027-0100;18;77,3 %;18,9;6;8;8;6;6;2;3;4;Passable;Lettres;Général
COH2027-0101;20;61,6 %;17,4;4;10;9;5;6;4;4;2;Assez bien;STAPS;Technologique
COH2027-0102;21;49,3 %;24,7;9;11;11;3;7;4;2;1;Assez bien;Informatique;Général
COH2027-0103;21;56,1 %;13,8;8;13;8;2;6;2;3;1;Assez bien;Informatique;Général
COH2027-0104;20;47,2 %;22,4;9;12;10;0;5;;;1;Assez bien;Droit;Général
COH2027-0105;21;59,4 %;24,9;6;11;8;3;5;2;1;3;Passable;Informatique;Professionnel
COH2027-0106;21;41,9 %;17,4;8;10;8;3;6;2;2;2;Passable;Informatique;Général
COH2027-0107;18;47,5 %;30,1;7;9;7;1;6;1;1;1;Assez bien;Informatique;Professionnel
COH2027-0108;24;48,7 %;33,3;7;13;10;1;6;3;2;2;Passable;Gestion;Général
COH2027-0109;21;64,4 %;24,6;3;12;12;2;6;4;1;3;Très bien;Gestion;Général
COH2027-0110;17;78,1 %;28,2;6;12;11;3;7;2;4;1;Bien;Psychologie;Général
COH2027-0111;21;61,5 %;15,9;5;12;11;4;7;3;2;3;Assez bien;Informatique;Technologique
COH2027-0112;19;51,5 %;3,4;6;10;6;0;6;1;3;1;Passable;Informatique;Général
COH2027-0113;20;53,2 %;24,8;7;10;7;0;7;3;2;3;Bien;Informatique;Technologique
COH2027-0114;17;66,4 %;30,9;7;11;7;6;6;4;4;4;Bien;Informatique;Professionnel
COH2027-0115;17;46,8 %;13,4;7;13;7;0;7;1;3;1;Passable;Mathématiques;Technologique
COH2027-0116;19;44,9 %;15,1;6;9;6;0;6;2;1;1;Très bien;Psychologie;Général
COH2027-0117;23;54,9 %;6,8;7;12;9;0;6;2;1;2;Passable;Gestion;Technologique
COH2027-0118;22;70,3 %;35,6;5;12;12;10;6;4;4;4;Passable;Informatique;Général
COH2027-0119;21;54,4 %;13,8;5;8;5;0;6;3;;1;Bien;Mathématiques;Général
COH2027-0120;22;79,2 %;46,0;4;11;11;8;5;3;2;1;Assez bien;Droit;Général
COH2027-0121;22;74,4 %;23,6;7;13;11;4;5;2;4;2;Bien;STAPS;Général
COH2027-0122;18;49,0 %;25,2;5;8;5;0;5;1;1;1;Passable;Informatique;Général
COH2027-0123;19;39,8 %;8,4;9;12;9;2;7;2;1;1;Bien;Informatique;Général
COH2027-0124;18;77,2 %;27,6;4;13;13;5;5;4;2;1;Bien;Gestion;Technologique
COH2027-0125;19;57,5 %;18,9;7;8;7;7;5;4;;2;Assez bien;Informatique;Professionnel
COH2027-0126;19;49,6 %;22,6;4;8;6;4;5;1;1;4;Passable;Informatique;Technologique
COH2027-0127;18;58,7 %;17,5;6;10;6;0;6;1;;1;Assez bien;Droit;Général
COH2027-0128;18;54,0 %;18,8;7;9;7;1;6;1;2;;Assez bien;Psychologie;Général
COH2027-0129;18;78,3 %;56,4;4;11;10;7;6;3;2;;Passable;Informatique;Technologique
COH2027-0130;20;73,5 %;15,6;6;9;8;2;7;1;4;2;Bien;Informatique;Technologique
COH2027-0131;19;49,5 %;6,2;7;10;7;0;7;1;1;1;Assez bien;Informatique;Général
COH2027-0132;23;74,3 %;29,6;4;13;12;3;5;3;1;4;Passable;Psychologie;Général
COH2027-0133;21;77,8 %;26,4;5;10;10;3;6;4;1;4;Passable;STAPS;Général
COH2027-0134;19;35,1 %;6,7;9;13;9;0;6;1;1;2;Passable;Biologie;Technologique
COH2027-0135;23;54,9 %;6,8;7;12;9;0;6;2;1;2;Passable;Informatique;Technologique
COH2027-0136;19;49,4 %;3,7;6;9;6;1;7;2;4;;Passable;Informatique;Général
COH2027-0137;20;64,0 %;51,0;3;8;8;7;7;3;3;2;Passable;Informatique;Général
COH2027-0138;20;55,6 %;27,6;7;10;7;0;6;3;4;2;Passable;Informatique;Technologique
COH2027-0139;20;39,9 %;4,3;6;8;6;0;6;1;3;2;Passable;Lettres;Technologique
COH2027-0140;18;41,4 %;4,3;8;11;8;0;6;1;2;1;Passable;Informatique;Général
COH2027-0141;18;63,3 %;15,7;5;8;8;5;7;3;3;4;Bien;Informatique;Général
COH2027-0142;19;33,1 %;10,6;8;12;8;0;6;1;1;1;Assez bien;Informatique;Technologique
COH2027-0143;23;43,4 %;3,6;6;11;7;1;6;1;3;2;Assez bien;STAPS;Général
COH2027-0144;20;56,6 %;31,3;6;12;10;2;7;2;1;1;Assez bien;Informatique;Professionnel
COH2027-0145;19;57,9 %;19,9;7;9;7;5;5;2;1;2;Passable;Psychologie;Technologique
COH2027-0146;19;62,0 %;32,3;9;12;10;6;6;1;2;2;Assez bien;Gestion;Technologique
COH2027-0147;18;54,0 %;9,6;6;8;6;1;7;1;2;1;Passable;Biologie;Général
COH2027-0148;24;50,0 %;1,8;8;13;8;3;6;1;1;3;Très bien;Lettres;Général
COH2027-0149;18;66,0 %;10,6;5;9;8;6;5;1;2;1;Passable;Biologie;Technologique
COH2027-0150;22;64,9 %;25,3;7;9;9;3;6;3;3;2;;Informatique;Général
COH2027-0151;22;69,3 %;17,6;4;8;7;4;5;2;3;2;Assez bien;Informatique;Général
COH2027-0152;21;54,5 %;32,5;7;8;7;2;5;4;2;1;Bien;STAPS;Général
COH2027-0153;18;34,9 %;12,2;6;12;6;0;6;1;1;1;Passable;Informatique;Général
COH2027-0154;19;28,8 %;4,9;5;8;5;0;6;1;1;1;Assez bien;Gestion;Général
COH2027-0155;18;67,4 %;36,3;6;11;11;8;6;4;2;3;Passable;Informatique;Général
COH2027-0156;23;56,5 %;22,8;8;11;8;4;5;1;3;2;Très bien;Lettres;Général
COH2027-0157;20;54,6 %;21,6;7;9;7;1;6;1;2;3;Passable;Informatique;Général
COH2027-0158;23;60,3 %;23,6;5;13;11;3;7;3;3;3;Assez bien;Informatique;Professionnel
COH2027-0159;20;36,6 %;15,8;6;8;6;2;7;3;;2;Passable;Informatique;Général
COH2027-0160;21;50,2 %;18,7;5;9;5;0;6;1;3;1;Passable;Informatique;Général
COH2027-0161;19;43,9 %;11,2;6;11;6;0;6;1;2;1;Bien;Mathématiques;Général
COH2027-0162;17;64,7 %;21,2;8;11;9;1;5;;1;3;Passable;Gestion;Général
COH2027-0163;19;49,9 %;30,1;9;13;10;5;7;2;2;4;Assez bien;Droit;Général
COH2027-0164;21;54,3 %;17,5;8;11;8;3;6;3;1;2;Assez bien;Gestion;Technologique
COH2027-0165;23;36,0 %;0,1;5;10;5;0;6;1;2;1;Passable;Informatique;Général
COH2027-0166;17;62,3 %;5,8;8;12;11;1;5;1;1;3;Assez bien;Informatique;Professionnel
COH2027-0167;18;54,3 %;18,1;9;12;11;2;7;1;3;1;;Informatique;Professionnel
COH2027-0168;21;43,4 %;34,1;7;8;7;4;6;3;1;2;;Psychologie;Technologique
COH2027-0169;20;39,2 %;5,5;6;10;6;0;5;1;;1;Bien;Gestion;Général
COH2027-0170;22;53,9 %;15,8;7;10;8;0;6;1;2;2;Assez bien;Biologie;Technologique
COH2027-0171;18;77,0 %;40,2;5;11;11;6;7;4;4;4;Très bien;STAPS;Professionnel
COH2027-0172;18;62,1 %;28,0;6;8;6;2;6;1;2;;Assez bien;Psychologie;Professionnel
COH2027-0173;20;42,5 %;1,9;8;10;8;0;5;1;2;4;Assez bien;Gestion;Général
COH2027-0174;22;35,2 %;1,6;6;9;6;0;5;1;1;1;Passable;Psychologie;Technologique
COH2027-0175;23;36,0 %;8,7;6;11;6;0;6;2;3;;Assez bien;Lettres;Professionnel
COH2027-0176;20;33,7 %;6,5;7;11;7;0;7;1;3;2;Très bien;STAPS;Technologique
COH2027-0177;22;48,9 %;10,2;6;11;8;4;7;1;2;1;Assez bien;Informatique;Technologique
COH2027-0178;20;44,8 %;13,1;7;13;7;3;6;2;4;2;Assez bien;Gestion;Général
COH2027-0179;19;60,2 %;31,6;6;11;8;1;5;2;2;1;Passable;Informatique;Général
COH2027-0180;19;42,4 %;34,0;7;11;10;6;6;3;4;3;Assez bien;Informatique;Général
COH2027-0181;19;68,4 %;19,8;6;9;9;7;5;4;3;2;Bien;STAPS;Technologique
COH2027-0182;22;60,3 %;29,6;5;12;12;8;6;3;2;;Bien;Informatique;Général
COH2027-0183;21;75,0 %;24,4;6;10;10;6;5;2;2;1;Assez bien;Psychologie;Général
COH2027-0184;19;64,2 %;11,2;8;11;9;3;5;2;2;3;Passable;Droit;Professionnel
COH2027-0185;19;59,0 %;15,5;7;10;10;2;6;2;1;1;Passable;Informatique;Général
COH2027-0186;18;54,5 %;9,8;8;12;10;3;5;3;2;3;Bien;Informatique;Technologique
COH2027-0187;22;55,8 %;10,3;8;9;8;1;6;2;1;1;Bien;Droit;Technologique
COH2027-0188;20;54,6 %;13,1;7;9;7;3;6;2;1;1;Bien;STAPS;Général
COH2027-0189;19;78,2 %;29,4;3;11;11;5;6;4;4;1;Assez bien;Droit;Technologique
COH2027-0190;22;76,7 %;33,0;5;12;12;4;6;;2;4;Passable;Biologie;Général
COH2027-0191;22;66,3 %;17,7;5;12;11;4;6;;2;;Assez bien;Droit;Technologique
COH2027-0192;21;70,6 %;40,6;4;13;13;6;7;3;4;3;Passable;Informatique;Technologique
COH2027-0193;19;58,6 %;14,0;6;9;6;1;6;3;1;1;Passable;Informatique;Professionnel
COH2027-0194;20;61,0 %;42,1;6;10;6;1;6;;2;;Très bien;Informatique;Technologique
COH2027-0195;18;56,6 %;16,4;8;12;9;3;5;2;1;3;Très bien;Biologie;Général
COH2027-0196;26;50,1 %;13,0;5;13;12;3;5;1;2;1;Très bien;Informatique;Professionnel
COH2027-0197;19;77,6 %;17,0;5;9;9;9;5;4;4;2;Assez bien;STAPS;Technologique
COH2027-0198;20;61,9 %;26,8;7;9;9;5;6;4;4;1;Passable;Gestion;Général
COH2027-0199;20;70,8 %;23,6;6;10;7;1;5;3;2;1;Passable;Lettres;Général
COH2027-0200;22;71,4 %;26,3;4;10;9;7;6;4;4;;Assez bien;Droit;Général
COH2027-0201;17;38,1 %;1,4;6;12;9;0;7;1;3;1;Assez bien;Mathématiques;Général
COH2027-0202;24;57,2 %;3,8;4;12;11;2;5;2;1;2;;Mathématiques;Technologique
COH2027-0203;22;35,2 %;11,1;8;9;8;0;7;2;3;1;Assez bien;Informatique;Général
COH2027-0204;21;71,5 %;16,9;4;10;9;8;6;4;3;4;Très bien;Informatique;Technologique
COH2027-0205;23;68,5 %;33,1;4;11;10;6;5;4;3;4;Bien;Informatique;Général
COH2027-0206;23;77,1 %;21,1;6;8;7;8;6;4;2;3;Passable;Informatique;Général
COH2027-0207;20;47,8 %;17,5;7;10;7;2;5;1;2;1;;Droit;Technologique
COH2027-0208;20;54,9 %;16,4;8;10;8;0;6;2;2;1;Bien;Informatique;Professionnel
COH2027-0209;18;79,6 %;41,9;4;10;8;8;6;4;2;3;Assez bien;Informatique;Général
COH2027-0210;20;50,5 %;3,0;6;11;7;0;6;1;3;1;Passable;Informatique;Professionnel
COH2027-0211;23;51,3 %;25,5;8;11;8;2;6;2;2;2;Passable;Biologie;Technologique
COH2027-0212;21;56,7 %;25,1;8;13;10;3;5;;2;1;Assez bien;STAPS;Technologique
COH2027-0213;20;48,9 %;14,2;9;10;9;0;5;2;2;2;Bien;Informatique;Général
COH2027-0214;18;63,0 %;10,2;9;13;10;0;6;;2;2;Assez bien;Informatique;Général
COH2027-0215;21;50,8 %;10,8;7;10;7;1;5;1;1;1;Passable;Droit;Général
COH2027-0216;18;64,8 %;27,2;5;9;8;3;6;1;2;1;;STAPS;Général
COH2027-0217;24;74,5 %;24,8;7;8;7;6;5;2;2;4;Assez bien;Informatique;Technologique
COH2027-0218;21;55,4 %;17,6;6;9;8;4;7;1;2;3;Passable;Mathématiques;Technologique
COH2027-0219;20;40,0 %;4,9;6;8;6;1;7;1;3;1;Très bien;Informatique;Général
COH2027-0220;18;78,3 %;56,4;4;11;10;7;6;3;2;;Passable;Psychologie;Technologique
COH2027-0221;19;68,8 %;27,2;6;11;9;13;6;4;2;4;Assez bien;Gestion;Général
COH2027-0222;17;46,8 %;13,4;7;13;7;0;7;1;3;1;Passable;Mathématiques;Technologique
COH2027-0223;19;49,3 %;10,9;6;13;8;0;7;3;1;1;Assez bien;Droit;Général
COH2027-0224;20;35,7 %;24,9;8;12;8;4;5;;2;2;Passable;Lettres;Professionnel
COH2027-0225;20;50,1 %;28,9;6;10;6;1;6;1;2;1;Assez bien;Informatique;Général
COH2027-0226;18;76,0 %;15,2;7;11;9;4;7;2;2;3;Passable;Informatique;Technologique
COH2027-0227;20;52,7 %;23,6;6;11;10;6;6;1;3;4;;Informatique;Général
COH2027-0228;22;73,0 %;26,6;4;8;7;7;6;2;2;1;Assez bien;Psychologie;Professionnel
COH2027-0229;21;58,3 %;18,8;6;8;6;3;7;3;3;2;Bien;Droit;Technologique
COH2027-0230;18;56,1 %;6,2;4;12;11;6;6;3;1;1;Passable;Droit;Technologique
COH2027-0231;22;59,6 %;29,6;7;11;8;2;7;4;1;1;Bien;Informatique;Général
COH2027-0232;21;64,2 %;30,2;5;10;8;0;5;3;2;1;Bien;Mathématiques;Général
COH2027-0233;21;60,3 %;21,4;6;8;6;2;6;3;3;2;Assez bien;Mathématiques;Technologique
COH2027-0234;20;72,6 %;9,9;4;12;11;5;7;2;4;1;;Informatique;Technologique
COH2027-0235;17;62,4 %;15,8;8;11;8;3;5;2;2;2;Assez bien;Psychologie;Technologique
COH2027-0236;20;65,4 %;37,1;4;13;11;3;7;1;2;1;Très bien;Informatique;Général
COH2027-0237;17;59,3 %;11,2;9;11;9;6;6;3;4;2;Assez bien;Informatique;Général
COH2027-0238;18;48,6 %;39,5;6;9;6;2;5;1;1;;Assez bien;Lettres;Technologique
COH2027-0239;18;50,9 %;21,0;7;10;7;2;5;2;4;1;Passable;Informatique;Général
COH2027-0240;18;78,1 %;44,5;3;8;8;13;7;4;4;4;Assez bien;Lettres;Général
COH2027-0241;17;62,4 %;34,6;3;11;11;5;6;4;4;4;Bien;Informatique;Technologique
COH2027-0242;17;47,1 %;11,2;4;8;4;0;6;2;1;1;Assez bien;Droit;Général
COH2027-0243;22;73,6 %;41,6;4;12;12;6;5;4;2;3;Passable;Informatique;Général
COH2027-0244;18;54,0 %;9,6;6;8;6;1;7;1;2;1;Passable;Informatique;Général
COH2027-0245;19;53,7 %;18,9;5;10;7;3;5;2;;4;Assez bien;Psychologie;Technologique
COH2027-0246;18;59,7 %;15,4;8;12;11;3;6;2;2;1;Assez bien;Informatique;Technologique
COH2027-0247;18;59,5 %;36,5;5;8;8;5;6;2;3;2;Assez bien;Gestion;Technologique
COH2027-0248;18;54,7 %;15,4;9;12;10;5;6;4;3;4;Bien;Informatique;Général
COH2027-0249;18;57,2 %;14,0;6;11;10;4;6;4;3;1;Passable;Informatique;Technologique
COH2027-0250;23;40,6 %;17,9;8;9;8;1;7;2;2;1;;Gestion;Général
COH2027-0251;19;43,5 %;9,2;8;13;8;0;5;2;1;1;Très bien;Informatique;Général
COH2027-0252;20;48,9 %;14,6;6;11;6;1;6;1;1;;Passable;Biologie;Général
COH2027-0253;20;42,8 %;11,4;6;10;6;0;5;1;1;1;;Psychologie;Technologique
COH2027-0254;17;63,9 %;16,1;6;9;7;1;6;2;2;2;Bien;STAPS;Général
COH2027-0255;18;28,3 %;3,1;10;12;10;0;6;3;3;1;Passable;Informatique;Général
COH2027-0256;17;58,5 %;8,7;7;10;8;5;6;1;4;2;;Informatique;Professionnel
COH2027-0257;22;69,3 %;17,6;4;8;7;4;5;2;3;2;Assez bien;Informatique;Général
COH2027-0258;18;53,7 %;14,8;5;8;7;7;5;1;;1;Passable;Mathématiques;Général
COH2027-0259;19;56,9 %;28,4;5;12;9;3;6;3;2;2;Bien;STAPS;Professionnel
COH2027-0260;21;59,3 %;45,6;3;9;7;4;7;4;3;4;Bien;Biologie;Général
COH2027-0261;18;55,7 %;11,9;6;8;6;1;5;;2;1;Bien;Droit;Général
COH2027-0262;21;69,8 %;36,5;3;12;11;8;6;3;;1;Assez bien;Informatique;Général
COH2027-0263;21;69,5 %;33,6;4;12;10;6;5;3;2;2;Bien;Informatique;Technologique
COH2027-0264;18;45,1 %;13,9;6;12;11;1;6;2;3;;Passable;Informatique;Général
COH2027-0265;18;50,0 %;28,1;7;8;7;4;7;1;2;2;Assez bien;Informatique;Général
COH2027-0266;17;46,1 %;12,1;9;11;10;2;6;1;3;1;Très bien;Biologie;Général
COH2027-0267;20;66,3 %;36,0;5;11;10;2;7;4;3;2;Assez bien;Informatique;Général
COH2027-0268;18;62,8 %;37,0;4;8;7;6;6;3;3;3;Bien;Informatique;Général
COH2027-0269;21;72,6 %;33,8;6;8;7;6;6;4;4;2;Assez bien;Informatique;Technologique
COH2027-0270;22;63,4 %;17,9;5;12;11;4;6;2;3;1;Bien;Biologie;Général
COH2027-0271;19;65,4 %;14,8;6;8;6;0;6;3;1;1;Passable;Informatique;Général
COH2027-0272;17;68,2 %;34,8;4;8;6;5;7;4;3;4;Assez bien;Informatique;Technologique
COH2027-0273;19;56,3 %;16,2;7;13;9;0;6;3;1;;Bien;Informatique;Technologique
COH2027-0274;17;64,0 %;33,2;4;13;13;4;6;3;3;4;Assez bien;Biologie;Général
COH2027-0275;19;78,8 %;19,2;6;10;9;7;5;2;4;2;Passable;Informatique;Général
COH2027-0276;19;59,6 %;40,6;7;10;9;1;5;2;3;1;Assez bien;Droit;Technologique
COH2027-0277;18;50,7 %;1,4;9;12;9;2;6;2;1;1;Passable;Informatique;Professionnel
COH2027-0278;20;71,0 %;35,9;5;9;9;6;6;4;2;4;Bien;Informatique;Technologique
COH2027-0279;19;66,3 %;19,1;7;11;7;2;7;2;2;1;Passable;Informatique;Technologique
